asset_id_quote,rate,time,primary_coin
$PAC,1333333.3333333333,2018-03-28T16:52:03.0000000Z,BTC
1ST,44523.59750667854,2018-03-28T16:48:28.0838887Z,BTC
300,14.414364548504626,2018-03-28T16:49:51.9404735Z,BTC
AAC,94876.66034155598,2018-03-28T16:48:28.0838887Z,BTC
ABT,12341.10823151919,2018-03-28T16:51:45.8418609Z,BTC
ACE,28405.0560999858,2018-03-28T16:48:28.0838887Z,BTC
ACT,32562.683165092803,2018-03-28T16:51:52.7100000Z,BTC
AE,4833.252779120348,2018-03-28T16:52:06.5690000Z,BTC
AGI,54614.964500273076,2018-03-28T16:51:58.8150000Z,BTC
AIB,1492537.3134328357,2018-03-28T16:49:17.8749814Z,BTC
AIDOC,202998.2298333561,2018-03-28T16:51:49.8892194Z,BTC
AION,3206.66987333654,2018-03-28T16:52:07.6450000Z,BTC
AMB,24021.138601969735,2018-03-28T16:52:07.8400000Z,BTC
APC,2247191.011235955,2018-03-28T16:48:01.5293923Z,BTC
APPC,19495.90499039719,2018-03-28T16:52:07.9840000Z,BTC
ARN,6527.947776417789,2018-03-28T16:52:07.9720000Z,BTC
ASAFE2,408163.2653061224,2018-03-28T16:47:46.0920308Z,BTC
AST,28167.470886894993,2018-03-28T16:52:07.7670000Z,BTC
ATL,41000.41000410004,2018-03-28T16:48:28.0838887Z,BTC
ATN,18195.050946142648,2018-03-28T16:51:57.8490000Z,BTC
AUD,10241.142300208541,2018-03-28T16:52:08.3758054Z,BTC
AUTO,564174.8942172073,2018-03-28T16:51:09.4078079Z,BTC
AVT,7574.609907589759,2018-03-28T16:52:08.3132938Z,BTC
BCD,337.92346033623386,2018-03-28T16:52:02.5320000Z,BTC
BCH,9.120356902674548,2018-03-28T16:52:08.3445472Z,BTC
BCN,3174603.1746031744,2018-03-28T16:52:05.6098486Z,BTC
BCX,2127659.574468085,2018-03-28T16:48:28.0838887Z,BTC
BCY,29233.355258349777,2018-03-28T16:52:05.6098486Z,BTC
BEC,35599.8576005696,2018-03-28T16:48:28.0838887Z,BTC
BELA,90661.83136899365,2018-03-28T16:52:05.6098486Z,BTC
BGN,12416.083629275889,2018-03-28T16:52:08.5789498Z,BTC
BHD,64040.98623118796,2018-03-28T16:48:35.6003861Z,BTC
BIT,281293.95218002814,2018-03-28T16:50:43.1921822Z,BTC
BITCF,48863.91399951136,2018-03-28T16:48:27.4705894Z,BTC
BKX,28260.562385191464,2018-03-28T16:48:28.0838887Z,BTC
BLZ,24347.19094284497,2018-03-28T16:52:07.5860000Z,BTC
BMC,13642.564802182811,2018-03-28T16:50:12.0000000Z,BTC
BNB,684.5212629417301,2018-03-28T16:52:08.4870000Z,BTC
BNTY,167364.01673640168,2018-03-28T16:47:14.5594527Z,BTC
BOS,67114.09395973154,2018-03-28T16:48:28.0000000Z,BTC
BPT,19825.535289452815,2018-03-28T16:48:53.0000000Z,BTC
BQ,2985074.6268656715,2018-03-28T16:51:41.6936711Z,BTC
BQX,2950.570566583313,2018-03-28T16:52:08.0420000Z,BTC
BRD,16033.3493666827,2018-03-28T16:52:02.5040000Z,BTC
BRL,26195.790718807664,2018-03-28T16:52:08.8133674Z,BTC
BT2,141.70889591765012,2018-03-28T16:50:16.1805121Z,BTC
BTC,1.0,2018-03-28T16:52:08.8758897Z,BTC
BTCD,133.47058558551043,2018-03-28T16:52:05.6098486Z,BTC
BTCHC,-2.0000000200000003,2018-03-28T16:49:52.9800499Z,BTC
BTCZ,2631578.947368421,2018-03-28T16:48:00.0000000Z,BTC
BTG,151.01120880697368,2018-03-28T16:52:08.9227420Z,BTC
BTM,14448.779078167894,2018-03-28T16:52:05.6098486Z,BTC
BTS,62568.434224933524,2018-03-28T16:52:05.6098486Z,BTC
BTX,1219.6758101696569,2018-03-28T16:47:55.2386352Z,BTC
CAD,10140.838526130128,2018-03-28T16:52:08.9852497Z,BTC
CAG,45085.66275924256,2018-03-28T16:47:43.3597673Z,BTC
CAN,25575.447570332482,2018-03-28T16:47:56.5960000Z,BTC
CAT,233918.12865497076,2018-03-28T16:48:02.5183326Z,BTC
CC,264900.66225165565,2018-03-28T16:50:54.2280940Z,BTC
CDT,189843.37921214997,2018-03-28T16:52:04.0010000Z,BTC
CESC,16666666.666666666,2018-03-28T16:50:21.4291179Z,BTC
CFC,4651162.790697674,2018-03-28T16:48:57.6362261Z,BTC
CHAT,86457.65335395826,2018-03-28T16:52:08.8850000Z,BTC
CHF,7491.676189236362,2018-03-28T16:52:09.1571465Z,BTC
CLAM,2164.267936370523,2018-03-28T16:52:05.6098486Z,BTC
CMT,78736.58192357518,2018-03-28T16:52:08.1750000Z,BTC
CND,111203.78092855157,2018-03-28T16:51:48.9270000Z,BTC
CNO,2564102.564102564,2018-03-28T16:51:24.0897540Z,BTC
CNY,49498.642839670225,2018-03-28T16:52:09.3134154Z,BTC
CPC,13970.382788488405,2018-03-28T16:50:50.8773713Z,BTC
CREDO,413223.14049586776,2018-03-28T16:51:37.9666646Z,BTC
CS,10642.260416112382,2018-03-28T16:49:48.5426752Z,BTC
CTR,18401.80337673092,2018-03-28T16:52:09.0160000Z,BTC
CXO,195312.5,2018-03-28T16:49:05.0000000Z,BTC
CZK,161640.78890129807,2018-03-28T16:52:09.5321933Z,BTC
DADI,43094.160741219566,2018-03-28T16:52:05.0000000Z,BTC
DALC,25539.522410930917,2018-03-28T16:48:47.6252274Z,BTC
DASH,22.3214808873994,2018-03-28T16:52:05.6098486Z,BTC
DAT,123114.80455524777,2018-03-28T16:52:09.5321933Z,BTC
DBC,171115.67419575632,2018-03-28T16:48:12.2069663Z,BTC
DCN,22222222.222222224,2018-03-28T16:49:50.9521433Z,BTC
DENT,744878.95716946,2018-03-28T16:49:14.4800556Z,BTC
DGB,368663.5944700461,2018-03-28T16:52:05.6254759Z,BTC
DGD,26.319425710131004,2018-03-28T16:52:08.7940000Z,BTC
DIME,-2.0000000200000003,2018-03-28T16:48:04.2994755Z,BTC
DKK,47303.197327006616,2018-03-28T16:52:09.6345810Z,BTC
DLT,42725.91326639607,2018-03-28T16:52:05.3710000Z,BTC
DMT,7301.668431236538,2018-03-28T16:51:01.8055821Z,BTC
DNA,36663.611365719524,2018-03-28T16:48:28.0838887Z,BTC
DOGE,2515723.2704402516,2018-03-28T16:52:05.6254759Z,BTC
DOLLAR,262812.0893561104,2018-03-28T16:47:25.1195783Z,BTC
DPC,269905.5330634278,2018-03-28T16:51:20.3404724Z,BTC
DPY,9933.939303630856,2018-03-28T16:48:28.0838887Z,BTC
DRGN,10757.314974182444,2018-03-28T16:49:35.9690000Z,BTC
DSH,22.322549681624636,2018-03-28T16:52:09.3602966Z,BTC
DTA,746993.3517591694,2018-03-28T16:48:26.5211725Z,BTC
ECH,19183.732195098557,2018-03-28T16:49:36.1600000Z,BTC
